SampleID,Fire,Transect,Replicate,Timepoint,Kingdom,BurnCat,Date,Timeframe,otu.H.fun,otu.N1,otu.N2,S.obs,initialchar,OM,P1,HCO3_P,PH,K,NA.,H,CEC,S,CopyNumber,PCA1,PCA2
F27BU3BT2,Burro,L3,B,1st Postfire,Fungi,Burned,7-Jun-18,2 Weeks,4.956603927,142.1103583,81.4551271,377,38,5.7,8,5.9,5.5,144.8,49.7,3.1,11.9,14,139755.2313,1.615859153,-1.142222092
F28BU3CT2,Burro,L3,C,1st Postfire,Fungi,Burned,7-Jun-18,2 Weeks,4.746219853,115.1481837,50.57381797,386,45,6.4,6.9,8.2,5.7,189.6,45.2,2.4,11.7,10.8,118894.1414,1.078892681,-0.661429339
F29BU3DT2,Burro,L3,D,1st Postfire,Fungi,Burned,7-Jun-18,2 Weeks,4.918934989,136.8567816,63.25229628,458,43,5.5,7.6,6.2,5.6,156.6,33.6,2.5,10.7,8.7,168855.4364,1.401336979,0.954914538
F30BU3ET2,Burro,L3,E,1st Postfire,Fungi,Burned,7-Jun-18,2 Weeks,4.728308459,113.1040803,55.49063008,395,92,6.3,15.8,7.4,5.8,174.9,51,2.3,12.3,10.2,175459.2967,1.202591467,-0.795755391
F46BU1AT4,Burro,L1,A,Nov,Fungi,Unburned,23-Nov-18,6 Months,4.546403842,94.29270643,52.70104925,285,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,70085.23068,0.955203346,1.372773265
F47BU1BT4,Burro,L1,B,Nov,Fungi,Burned,23-Nov-18,6 Months,4.845084376,127.1140069,45.48670135,416,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,26935.43158,1.202295106,-0.16452721
F48BU1CT4,Burro,L1,C,Nov,Fungi,Burned,23-Nov-18,6 Months,4.531828166,92.92829428,34.04054494,372,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,32816.21446,0.606038554,-0.180943079
F49BU1DT4,Burro,L1,D,Nov,Fungi,Burned,23-Nov-18,6 Months,4.73690888,114.0810179,54.26649114,351,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,44408.03611,-1.238895575,0.872359444
F50BU1ET4,Burro,L1,E,Nov,Fungi,Burned,23-Nov-18,6 Months,4.630480618,102.5633461,47.8933831,400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,38041.02969,1.185138457,1.235264657
F51BU2AT4,Burro,L2,A,Nov,Fungi,Unburned,23-Nov-18,6 Months,4.817286592,123.6291789,70.14181193,321,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,41418.63617,1.100600318,-0.073701851
